check_date,complete_date,loc,major,status,type,visa,waiting_days
2015-07-01,2015-08-10,ShenYang,Molecular Biolgoy,Clear,New,H1,40
2015-07-01,2015-07-31,ShenYang,Biomedical Engineering,Clear,Renewal,F1,30
2015-07-01,0000-00-00,BeiJing,N/A,Pending,New,B2,1312
2015-07-01,2015-07-14,ShenYang,Project Manangement,Clear,New,F1,13
2015-07-01,2015-08-19,Others,Computer Engineering,Clear,Renewal,F1,49
2015-07-01,2015-08-05,ShenYang,Materials Science,Clear,New,F1,35
2015-07-01,2015-08-07,Europe,Design,Clear,New,J1,37
2015-07-01,0000-00-00,BeiJing,Biochemistry,Pending,New,J1,1312
2015-07-01,2015-08-05,BeiJing,Nuclear Science and Engin,Clear,Renewal,F1,35
2015-07-01,2015-08-06,BeiJing,Electrical Engineering,Clear,Renewal,F1,36
2015-07-01,0000-00-00,BeiJing,Mechanical Engineering,Pending,New,B1,1312
2015-07-01,2015-07-31,BeiJing,Computer Science,Clear,New,H1,30
2015-07-01,2015-07-27,GuangZhou,Computer Science,Clear,Renewal,F1,26
2015-07-01,0000-00-00,BeiJing,meeting,Pending,New,B1,1312
2015-07-01,2015-07-29,BeiJing,Materials Science PhD,Clear,Renewal,F1,28
2015-07-01,2015-07-28,ChengDu,Computer Science,Clear,New,H1,27
2015-07-01,0000-00-00,BeiJing,Material Engineering,Pending,New,B2,1312
2015-07-02,2015-07-31,ShangHai,ECE,Clear,New,F1,29
2015-07-02,2015-08-03,BeiJing,Atmospheric &amp; Oceanic Sci,Clear,Renewal,F1,32
2015-07-02,2015-08-05,ShangHai,Civil engineering,Clear,New,B1,34
2015-07-02,2015-08-05,ShangHai,EE,Clear,New,J1,34
2015-07-02,0000-00-00,BeiJing,Mechanical engineering,Pending,New,F1,1311
2015-07-02,2015-07-29,ShangHai,biochemistry,Clear,Renewal,F1,27
2015-07-02,2015-08-07,ShangHai,info sys,Clear,New,F1,36
2015-07-02,2015-08-06,ShangHai,Biomedical Engineering,Clear,New,F1,35
2015-07-02,0000-00-00,ChengDu,physics,Pending,New,J1,1311
2015-07-02,2015-08-04,ShangHai,Civil Eng.,Clear,New,F1,33
2015-07-02,2015-08-04,ShangHai,CS,Clear,Renewal,F1,33
2015-07-03,0000-00-00,GuangZhou,N/A,Pending,Renewal,B1,1310
2015-07-06,2015-07-24,ShangHai,Biochemistry,Clear,New,B1,18
2015-07-06,2015-07-07,ChengDu,N/A,Clear,New,B2,1
2015-07-06,2015-07-13,ChengDu,N/A,Clear,New,B2,7
2015-07-06,0000-00-00,ChengDu,N/A,Pending,New,B2,1307
2015-07-06,0000-00-00,ChengDu,N/A,Pending,New,B2,1307
2015-07-06,0000-00-00,ChengDu,N/A,Pending,New,B2,1307
2015-07-06,2015-08-06,BeiJing,ME,Clear,Renewal,F1,31
2015-07-06,0000-00-00,BeiJing,chemistry,Pending,New,J1,1307
2015-07-06,2015-07-27,BeiJing,ECE,Clear,New,F1,21
2015-07-06,2015-07-24,BeiJing,EE,Clear,Renewal,F1,18
2015-07-06,2015-08-04,ShangHai,ME,Clear,Renewal,F1,29
2015-07-06,2015-08-05,HongKong,ME,Clear,Renewal,F1,30
2015-07-06,2015-08-11,ShangHai,Computer Science,Clear,New,H1,36
2015-07-06,2015-08-04,ShangHai,Physics,Clear,Renewal,F1,29
2015-07-06,2015-08-12,BeiJing,Mechanical Engineering,Clear,New,H1,37
2015-07-06,2015-08-11,ShangHai,biotech,Clear,New,L1,36
2015-07-06,2015-07-27,ShangHai,ME,Clear,New,F1,21
2015-07-06,0000-00-00,ShangHai,Physics,Pending,Renewal,F1,1307
2015-07-06,0000-00-00,BeiJing,N/A,Pending,New,B1,1307
2015-07-06,2015-08-04,ShangHai,Polymer Engineering,Clear,New,F1,29
2015-07-06,2015-07-25,ShangHai,ME,Clear,Renewal,F1,19
2015-07-06,2015-08-11,ShangHai,bio-engineering,Clear,New,B1,36
2015-07-06,2015-07-28,BeiJing,HCI,Clear,New,F1,22
2015-07-06,2015-07-24,ShangHai,CE,Clear,New,B1,18
2015-07-06,2015-07-24,BeiJing,ECE,Clear,Renewal,F1,18
2015-07-06,2015-07-27,ShangHai,ME,Clear,New,F1,21
2015-07-07,2015-07-24,ShenYang,EE,Clear,Renewal,F1,17
2015-07-07,2015-08-14,ShangHai,Materials engineering,Clear,New,F1,38
2015-07-07,0000-00-00,Europe,Asian Studies,Pending,Renewal,F1,1306
2015-07-07,2015-08-06,BeiJing,Materials Engineering,Clear,Renewal,F1,30
2015-07-07,2015-08-18,Toronto,Chem Eng,Clear,New,B1,42
2015-07-07,0000-00-00,BeiJing,N/A,Pending,New,L1,1306
2015-07-07,2015-08-14,ShangHai,Chemistry,Clear,Renewal,F1,38
2015-07-07,2015-07-31,GuangZhou,Chemistry PhD,Clear,New,F1,24
2015-07-07,2015-07-27,BeiJing,Computer Science,Clear,New,F1,20
2015-07-07,2015-07-09,BeiJing,Computer Science,Clear,New,L1,2
2015-07-07,2015-08-04,ShangHai,Materials Engineering,Clear,Renewal,F1,28
2015-07-07,2015-08-14,ChengDu,Computer Science,Clear,New,L1,38
2015-07-07,2015-08-11,Europe,geophysics,Clear,Renewal,H1,35
2015-07-07,2015-07-31,GuangZhou,biostatistics,Clear,New,F1,24
2015-07-07,0000-00-00,BeiJing,EE,Pending,New,F1,1306
2015-07-07,2015-07-31,ShangHai,CS,Clear,New,H1,24
2015-07-07,2015-08-07,ShangHai,ME,Clear,Renewal,F1,31
2015-07-07,2015-08-04,ShangHai,biology,Clear,New,J1,28
2015-07-07,2015-08-06,BeiJing,EE,Clear,New,F1,30
2015-07-07,2015-08-06,GuangZhou,Polymer,Clear,New,F1,30
2015-07-07,2015-07-24,ShenYang,N/A,Clear,New,J1,17
2015-07-07,2015-08-06,BeiJing,CE,Clear,Renewal,F1,30
2015-07-07,0000-00-00,ShenYang,Macromolecular Chemistry,Pending,New,J1,1306
2015-07-07,2015-08-11,ShangHai,Biological Science,Clear,New,J1,35
2015-07-07,2015-08-04,BeiJing,Biostatistics,Clear,Renewal,F1,28
2015-07-07,2015-07-29,ShangHai,Biomedical Engineering,Clear,New,F1,22
2015-07-07,2015-08-05,BeiJing,Biomedical Engineering,Clear,New,F1,29
2015-07-07,2015-08-06,ShangHai,CS,Clear,New,F1,30
2015-07-07,0000-00-00,BeiJing,Chemistry,Pending,Renewal,F1,1306
2015-07-08,2015-08-11,ShangHai,Computer Science,Clear,Renewal,F1,34
2015-07-08,0000-00-00,ShangHai,N/A,Pending,New,B1,1305
2015-07-08,2015-08-04,BeiJing,ECE,Clear,New,F1,27
2015-07-08,0000-00-00,ShangHai,N/A,Pending,New,J1,1305
2015-07-08,2015-08-25,Europe,MechE,Clear,Renewal,F1,48
2015-07-08,2015-08-06,ShangHai,Chemical Engineering,Clear,New,F1,29
2015-07-08,2015-08-06,BeiJing,Materials Science and Eng,Clear,New,F1,29
2015-07-08,2015-08-06,BeiJing,EE,Clear,New,F1,29
2015-07-08,2015-07-31,BeiJing,EE,Clear,New,F1,23
2015-07-08,2015-08-05,ShangHai,Computer Science,Clear,Renewal,F1,28
2015-07-08,2015-07-28,ChengDu,Nutrition Sciences,Clear,New,F1,20
2015-07-09,2015-08-06,BeiJing,CS,Clear,New,F1,28
2015-07-09,2015-08-12,BeiJing,Sustainable International,Reject,New,F1,34
2015-07-09,2015-08-05,BeiJing,EE,Clear,New,F1,27
2015-07-09,2015-08-07,BeiJing,Computer Science,Clear,New,H1,29
2015-07-09,2015-08-06,ShangHai,Food science,Clear,Renewal,F1,28
2015-07-09,0000-00-00,ShenYang,chemistry,Pending,Renewal,B1,1304
2015-07-09,2015-07-20,GuangZhou,Architecture,Clear,Renewal,F1,11
2015-07-09,2015-08-06,GuangZhou,Mechanical Engineering,Clear,Renewal,F1,28
2015-07-09,2015-08-10,Ottawa,N/A,Clear,New,L1,32
2015-07-09,2015-08-05,ShangHai,Materials Engineering,Clear,Renewal,F1,27
2015-07-09,2015-08-10,ChengDu,Applied Chemistry,Clear,New,J1,32
2015-07-09,0000-00-00,BeiJing,Electrical Engineering,Pending,New,J1,1304
2015-07-09,0000-00-00,Chennai,Chemical Engineering,Pending,Renewal,H1,1304
2015-07-09,2015-08-11,ShangHai,material science ,Clear,New,J1,33
2015-07-09,2015-08-12,BeiJing,Mechanical Engineering,Clear,New,H1,34
2015-07-09,0000-00-00,GuangZhou,Chemistry,Pending,New,F1,1304
2015-07-09,2015-08-05,ShenYang,BME,Clear,New,F1,27
2015-07-09,2015-08-12,BeiJing,Chemistry,Clear,Renewal,B1,34
2015-07-09,2015-08-06,BeiJing,MSE,Clear,New,F1,28
2015-07-09,0000-00-00,ShangHai,N/A,Pending,New,J1,1304
2015-07-09,2015-08-19,ChengDu,physics,Clear,New,J1,41
2015-07-10,2015-08-06,ShenYang,Electrical Engineering,Clear,New,F1,27
2015-07-10,2015-08-06,ShangHai,Mechanical Engineering,Clear,New,F1,27
2015-07-10,0000-00-00,ShangHai,Chemistry ,Pending,New,F1,1303
2015-07-10,2015-08-10,GuangZhou,Biology,Clear,New,J1,31
